Date,Agency/PMD (af_prt),Media Source (pid),Campaign (c),Impressions,Clicks,CTR,Installs,Conversion Rate,Sessions,Loyal Users,Loyal Users/Installs,Total Revenue,Total Cost,ROI,ARPU,Average eCPI,account number (Unique users),account number (Event counter),account number (Sales in INR),any_trade_s2s (Unique users),any_trade_s2s (Event counter),any_trade_s2s (Sales in INR),app_init (Unique users),app_init (Event counter),app_init (Sales in INR),confirm_emailotp (Unique users),confirm_emailotp (Event counter),confirm_emailotp (Sales in INR),confirm_mobileotp (Unique users),confirm_mobileotp (Event counter),confirm_mobileotp (Sales in INR),create_account (Unique users),create_account (Event counter),create_account (Sales in INR),equity_trade_s2s (Unique users),equity_trade_s2s (Event counter),equity_trade_s2s (Sales in INR),esign (Unique users),esign (Event counter),esign (Sales in INR),etf_trade_s2s (Unique users),etf_trade_s2s (Event counter),etf_trade_s2s (Sales in INR),exchange and segment (derivative) (Unique users),exchange and segment (derivative) (Event counter),exchange and segment (derivative) (Sales in INR),fno_trade_s2s (Unique users),fno_trade_s2s (Event counter),fno_trade_s2s (Sales in INR),google signup (Unique users),google signup (Event counter),google signup (Sales in INR),kra_kyc_verified (Unique users),kra_kyc_verified (Event counter),kra_kyc_verified (Sales in INR),login_completed (Unique users),login_completed (Event counter),login_completed (Sales in INR),login_sky (Unique users),login_sky (Event counter),login_sky (Sales in INR),maritial status (Unique users),maritial status (Event counter),maritial status (Sales in INR),mtf_trade_s2s (Unique users),mtf_trade_s2s (Event counter),mtf_trade_s2s (Sales in INR),photo (Unique users),photo (Event counter),photo (Sales in INR),political exposed (Unique users),political exposed (Event counter),political exposed (Sales in INR),selfie (Unique users),selfie (Event counter),selfie (Sales in INR),thank_you (Unique users),thank_you (Event counter),thank_you (Sales in INR),"upload salary slip,6 month bank statement,itr. (Unique users)","upload salary slip,6 month bank statement,itr. (Event counter)","upload salary slip,6 month bank statement,itr. (Sales in INR)",verify_kyc (Unique users),verify_kyc (Event counter),verify_kyc (Sales in INR)
7/1/2025,None,Paid,RCS_AkshayaTritiya,N/A,5,N/A,0,0,0,0,N/A,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2025,None,Paid,XLRI_emailer,N/A,2,N/A,1,0.5,10,1,1,0,N/A,N/A,0,N/A,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
7/1/2025,None,Paid,Gopalpura,N/A,8,N/A,3,0.375,46,3,1,0,N/A,N/A,0,N/A,0,0,0,0,0,0,1,11,0,0,0,0,3,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,3,0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,3,3,0
7/1/2025,None,Paid,HDFC Sky_AAA_Activations_05thJune25 Campaign,107596,885,0.0082,22,0.0249,130,15,0.6818,0,12753.1999,N/A,0,579.6909,0,0,0,0,0,0,3,21,0,1,5,0,11,22,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,3,19,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,1,1,0,0,0,0,0,0,0,3,3,0
7/1/2025,None,Paid,Ghatkopar_Graffiti,N/A,1,N/A,0,0,0,0,N/A,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2025,None,Paid,Sky_Landing_Page,N/A,5,N/A,0,0,0,0,N/A,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2025,None,Paid,Website_WebPush,N/A,2688,N/A,0,0,0,0,N/A,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2025,None,Paid,MB_APPBOX_MIDLEVEL,N/A,25,N/A,0,0,0,0,N/A,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2025,None,Paid,HomePage_SKYicon,N/A,64,N/A,5,0.0781,25,3,0.6,0,N/A,N/A,0,N/A,1,1,0,0,0,0,2,4,0,3,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,5,0,0,0,0,1,1,0,1,1,0
7/1/2025,None,Paid,QR_piller,N/A,9,N/A,3,0.3333,16,2,0.6667,0,N/A,N/A,0,N/A,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0
7/1/2025,None,Paid,None,N/A,16,N/A,0,0,0,0,N/A,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2025,None,Paid,OLAIPO,N/A,22,N/A,0,0,0,0,N/A,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2025,None,Paid,OTT_JioCinema,N/A,3,N/A,0,0,0,0,N/A,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2025,None,Organic,None,N/A,N/A,N/A,2389,N/A,0,1933,0.8091,0,N/A,N/A,0,N/A,83,110,0,126,939,0,940,23768,0,196,278,0,544,696,0,4,5,0,101,395,0,541,650,0,30,122,0,39,57,0,3,405,0,361,422,0,1,1,0,1063,35648,0,6,6,0,439,492,0,4,17,0,0,0,0,438,491,0,520,629,0,2,3,0,38,55,0,457,497,0
7/1/2025,None,Paid,Tradingview_web,N/A,19,N/A,0,0,0,0,N/A,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2025,None,Paid,VisitingCard,N/A,2,N/A,0,0,0,0,N/A,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2025,None,Paid,Website_to_App,N/A,N/A,N/A,2,N/A,16,2,1,0,N/A,N/A,0,N/A,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2025,None,Organic,Yotube_Videos,N/A,6,N/A,3,0.5,85,3,1,0,N/A,N/A,0,N/A,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
7/1/2025,affilienetdigit,Paid,ads_sky,N/A,1,N/A,0,0,0,0,N/A,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2025,None,Paid,"hdfc sky: invest, trade, learn, samsung",N/A,N/A,N/A,20,N/A,56,5,0.25,0,N/A,N/A,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2025,None,Paid,WhatsAppBot,N/A,3,N/A,0,0,0,0,N/A,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2025,None,Paid,HDFC SKY - Android App - Esign,731734,13194,0.018,998,0.0756,12833,780,0.7816,0,123382.6201,N/A,0,123.6299,33,33,0,9,716,0,335,4584,0,128,173,0,303,383,0,0,0,0,6,76,0,150,163,0,1,17,0,17,21,0,4,622,0,160,179,0,0,0,0,294,5894,0,1,1,0,114,115,0,0,0,0,0,0,0,114,115,0,148,162,0,0,0,0,17,21,0,182,184,0
7/1/2025,None,Paid,HDFC SKY-Android App-ACe-Retargeting-002_Inst_esign_16thJune25,69295,1064,0.0154,94,0.0883,841,70,0.7447,0,4033.3438,N/A,0,42.9079,0,0,0,0,0,0,45,282,0,6,7,0,10,11,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,4,4,0,0,0,0,18,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,2,2,0
7/1/2025,None,Paid,HDFC SKY-Android App-ACe-Retargeting_trade_03June25,92241,1663,0.018,25,0.015,372,17,0.68,0,7590.1446,N/A,0,303.6058,1,52,0,0,0,0,11,160,0,1,1,0,5,7,0,0,0,0,0,0,0,1,57,0,0,0,0,1,1,0,0,0,0,3,3,0,0,0,0,5,83,0,0,0,0,2,52,0,0,0,0,0,0,0,2,52,0,2,37,0,1,3,0,1,1,0,3,57,0
7/1/2025,None,Paid,UAC_Catalyst_Android_4th_Jul_2024,2474150,52665,0.0213,1455,0.0276,15242,963,0.6619,0,164967.5027,N/A,0,113.3797,18,18,0,16,175,0,289,4960,0,177,284,0,551,810,0,0,0,0,12,144,0,73,89,0,6,14,0,14,16,0,1,17,0,307,329,0,0,0,0,187,6263,0,1,1,0,75,88,0,0,0,0,0,0,0,74,87,0,71,90,0,1,1,0,14,15,0,215,216,0
7/1/2025,None,Paid,Demat_Account_Page_Sticky_CTA,N/A,2,N/A,0,0,0,0,N/A,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2025,None,Paid,Email_Campaign_CTO_ETF,N/A,52,N/A,2,0.0385,277,1,0.5,0,N/A,N/A,0,N/A,0,0,0,1,31,0,1,239,0,1,1,0,1,1,0,0,0,0,1,31,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,262,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0
7/1/2025,None,Paid,Email_Campaign_CTO_FnO,N/A,7,N/A,1,0.1429,6,1,1,0,N/A,N/A,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2025,None,Paid,Email_Campaign_CTO_Juggle,N/A,57,N/A,10,0.1754,195,8,0.8,0,N/A,N/A,0,N/A,1,1,0,1,7,0,2,117,0,5,5,0,5,6,0,0,0,0,1,7,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,128,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,1,1,0,4,4,0
7/1/2025,None,Paid,Email_Campaign_CTO_Payoff,N/A,3,N/A,1,0.3333,2,0,0,0,N/A,N/A,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2025,None,Paid,Email_Campaign_CTO_Research,N/A,41,N/A,5,0.122,23,4,0.8,0,N/A,N/A,0,N/A,0,0,0,0,0,0,1,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2025,None,Paid,Email_HDB_IPO,N/A,26,N/A,2,0.0769,23,2,1,0,N/A,N/A,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/1/2025,None,Paid,Email_S3,N/A,3,N/A,0,0,0,0,N/A,0,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
